DEPTH,ATTENUATION,FREQUENCY,BAND,PERMITTIVITY,PERMITTIVITY,WETNESS,DENSITY,WETNESS,Sample Length,Cumulative Snow,Sample Mass,Cumulative Mass
5,810,708.9,13.5,1.57,0,0,0.296,0,5,0.05,0.015,0.015
10,837,664,15,1.79,0.005,0.68,0.376,1.7,5,0.10,0.019,0.034
15,861,659,14,1.82,0.003,0.41,0.398,1,5,0.15,0.020,0.054
20,920,654.3,12.3,1.84,0,0,0.421,0,5,0.20,0.021,0.075
25,859,658.1,13.2,1.82,0.001,0.13,0.409,0.2,5,0.25,0.020,0.095
30,864,669.7,14,1.76,0.002,0.27,0.376,0.6,5,0.30,0.019,0.114
35,799,695.3,16.3,1.63,0.004,0.52,0.308,1.6,5,0.35,0.015,0.129
40,995,682.7,13,1.69,0,0,0.353,0,5,0.40,0.018,0.147
45,874,658.9,13.5,1.82,0.002,0.27,0.403,0.6,5,0.45,0.020,0.167
50,923,705.3,13.3,1.59,0,0,0.303,0,5,0.50,0.015,0.182
55,902,706.6,13.2,1.58,0,0,0.3,0,5,0.55,0.015,0.197
60,857,696.8,15.3,1.62,0.002,0.26,0.312,0.8,5,0.60,0.016,0.213
65,1038,678.5,13,1.71,0,0,0.363,0,5,0.65,0.018,0.231
70,1026,681.2,13,1.7,0,0,0.357,0,5,0.70,0.018,0.249
75,870,704.8,13.7,1.59,0,0,0.305,0,5,0.75,0.015,0.264
80,831,705.8,13.7,1.58,0,0,0.302,0,5,0.80,0.015,0.279
85,867,663.5,15,1.79,0.005,0.68,0.377,1.7,5,0.85,0.019,0.298
90,745,696,16,1.63,0.004,0.52,0.306,1.6,5,0.90,0.015,0.313
95,792,662.5,16,1.8,0.008,1.1,0.364,2.9,5,0.95,0.018,0.331
100,880,657.3,13.3,1.83,0.001,0.13,0.411,0.2,5,1.00,0.021,0.352
105,668,736.3,14.3,1.45,0,0,0.241,0,5,1.05,0.012,0.364
110,674,717.6,17.8,1.53,0.005,0.63,0.256,2.4,5,1.10,0.013,0.377
115,746,713.5,16,1.55,0.002,0.25,0.278,0.8,5,1.15,0.014,0.391
120,477,746.6,20.2,1.42,0.007,0.83,0.193,4.2,5,1.20,0.010,0.400
125,684,734.1,14.8,1.46,0,0,0.245,0,5,1.25,0.012,0.413
130,579,724.2,16.5,1.5,0.002,0.24,0.256,0.9,5,1.30,0.013,0.425
135,767,651.9,13.5,1.86,0.002,0.28,0.42,0.6,5,1.35,0.021,0.446
5,865,697.7,15,1.62,0.001,0.13,0.315,0.3,5,0.05,0.016,0.016
10,888,699.6,14.8,1.61,0,0,0.315,0,5,0.10,0.016,0.032
15,914,685.8,13.7,1.68,0,0,0.346,0,5,0.15,0.017,0.049
20,799,666.3,15.3,1.78,0.005,0.68,0.37,1.7,5,0.20,0.019,0.067
25,789,697.6,15.8,1.62,0.003,0.39,0.307,1.2,5,0.25,0.015,0.083
30,785,709.7,14,1.57,0,0,0.294,0,5,0.30,0.015,0.097
35,899,683.7,14,1.69,0,0,0.351,0,5,0.35,0.018,0.115
40,797,704.9,14.5,1.59,0,0,0.304,0,5,0.40,0.015,0.130
45,822,708.8,13.3,1.57,0,0,0.296,0,5,0.45,0.015,0.145
50,646,718.7,17.5,1.53,0.004,0.5,0.259,1.8,5,0.50,0.013,0.158
55,697,759.8,16.7,1.37,0,0,0.199,0,5,0.55,0.010,0.168
60,961,668.7,13.5,1.76,0,0,0.387,0,5,0.60,0.019,0.187
65,699,764.4,15.5,1.35,0,0,0.192,0,5,0.65,0.010,0.197
70,807,712.8,15.3,1.55,0,0,0.288,0,5,0.70,0.014,0.211
75,693,754.3,14.7,1.39,0,0,0.209,0,5,0.75,0.010,0.222
80,1063,683.7,13,1.69,0,0,0.351,0,5,0.80,0.018,0.239
85,649,727.7,15.5,1.49,0,0,0.258,0,5,0.85,0.013,0.252
90,484,738.4,16.5,1.45,0.001,0.12,0.234,0.4,5,0.90,0.012,0.264
5,738,726.3,14.7,1.5,0,0,0.261,0,5,0.05,0.013,0.013
10,821,710.2,13.5,1.56,0,0,0.293,0,5,0.10,0.015,0.028
15,1086,673.8,12.7,1.74,0,0,0.375,0,5,0.15,0.019,0.046
20,887,705.6,13.2,1.59,0,0,0.303,0,5,0.20,0.015,0.062
25,999,682.7,13,1.69,0,0,0.353,0,5,0.25,0.018,0.079
30,1031,675.3,12.7,1.73,0,0,0.371,0,5,0.30,0.019,0.098
35,935,671.7,14,1.75,0.001,0.13,0.376,0.3,5,0.35,0.019,0.117
40,961,678,14,1.72,0.001,0.13,0.361,0.3,5,0.40,0.018,0.135
45,884,704.7,13.5,1.59,0,0,0.305,0,5,0.45,0.015,0.150
50,856,708.6,13.8,1.57,0,0,0.297,0,5,0.50,0.015,0.165
55,644,721.9,16.5,1.51,0.002,0.25,0.261,0.9,5,0.55,0.013,0.178
60,921,705.2,13.5,1.59,0,0,0.303,0,5,0.60,0.015,0.193
65,831,696.3,15.7,1.63,0.003,0.39,0.31,1.2,5,0.65,0.016,0.208
70,843,695.7,16,1.63,0.004,0.52,0.306,1.6,5,0.70,0.015,0.224
75,549,723.6,16.8,1.51,0.003,0.37,0.253,1.4,5,0.75,0.013,0.236
80,860,651.1,12.2,1.86,0,0,0.429,0,5,0.80,0.021,0.258
85,853,642.5,12,1.91,0,0,0.45,0,5,0.85,0.023,0.280
90,918,644.2,12,1.9,0,0,0.446,0,5,0.90,0.022,0.303
95,678,725.6,15.8,1.5,0,0,0.262,0,5,0.95,0.013,0.316
100,572,748.8,18.3,1.41,0.003,0.35,0.207,1.6,5,1.00,0.010,0.326
105,584,725.8,16.3,1.5,0.001,0.12,0.257,0.4,5,1.05,0.013,0.339
110,687,734.1,14.8,1.46,0,0,0.245,0,5,1.10,0.012,0.351
115,644,735.7,14.5,1.46,0,0,0.243,0,5,1.15,0.012,0.363
120,626,737.6,14.2,1.45,0,0,0.239,0,5,1.20,0.012,0.375
5,646,717.7,17,1.53,0.004,0.5,0.26,1.8,5,0.05,0.013,0.013
10,660,720.6,16.2,1.52,0.001,0.12,0.267,0.4,5,0.10,0.013,0.026
15,838,708.6,13.2,1.57,0,0,0.297,0,5,0.15,0.015,0.041
20,621,717.1,17.8,1.53,0.005,0.63,0.257,2.4,5,0.20,0.013,0.054
25,721,695.4,16.5,1.63,0.005,0.65,0.303,2,5,0.25,0.015,0.069
30,935,671.7,13.5,1.75,0,0,0.38,0,5,0.30,0.019,0.088
35,579,717.1,18.2,1.53,0.006,0.75,0.252,2.9,5,0.35,0.013,0.101
40,778,710.1,13.8,1.56,0,0,0.293,0,5,0.40,0.015,0.115
45,901,685.7,14,1.68,0,0,0.347,0,5,0.45,0.017,0.133
50,954,683,13,1.69,0,0,0.353,0,5,0.50,0.018,0.150
55,920,671.4,13.5,1.75,0,0,0.38,0,5,0.55,0.019,0.169
60,809,665.3,15.3,1.78,0.006,0.82,0.367,2.1,5,0.60,0.018,0.188
65,925,672.3,13.7,1.75,0.001,0.13,0.374,0.3,5,0.65,0.019,0.207
70,754,663.7,15.5,1.79,0.006,0.82,0.372,2.1,5,0.70,0.019,0.225
75,786,662.5,15,1.8,0.005,0.68,0.38,1.7,5,0.75,0.019,0.244
80,855,651.6,12.2,1.86,0,0,0.428,0,5,0.80,0.021,0.266
85,916,672.3,13.7,1.75,0.001,0.13,0.374,0.3,5,0.85,0.019,0.284
90,785,664.3,15.3,1.79,0.006,0.82,0.37,2.1,5,0.90,0.019,0.303
95,737,693.2,21,1.64,0.016,2.1,0.249,8.3,5,0.95,0.012,0.315
100,958,675.7,13.5,1.73,0,0,0.37,0,5,1.00,0.019,0.334
105,773,688.8,16.3,1.66,0.005,0.66,0.317,2,5,1.05,0.016,0.350
110,823,706.3,13.7,1.58,0,0,0.301,0,5,1.10,0.015,0.365
115,848,652.9,12.5,1.85,0,0,0.425,0,5,1.15,0.021,0.386
120,792,646.6,12.8,1.89,0.001,0.14,0.436,0.2,5,1.20,0.022,0.408
125,797,647.6,12.8,1.88,0.001,0.14,0.434,0.2,5,1.25,0.022,0.429
130,868,670.7,14,1.75,0.001,0.13,0.377,0.3,5,1.30,0.019,0.448
135,727,661.1,15.2,1.81,0.006,0.82,0.378,2.1,5,1.35,0.019,0.467
140,849,654.5,12,1.84,0,0,0.421,0,5,1.40,0.021,0.488
145,597,714.4,17.5,1.55,0.005,0.63,0.263,2.3,5,1.45,0.013,0.501
150,785,660,14,1.81,0.003,0.41,0.396,1,5,1.50,0.020,0.521
155,542,718.2,19,1.53,0.008,1,0.241,4,5,1.55,0.012,0.533
160,874,647.6,12.2,1.88,0,0,0.437,0,5,1.60,0.022,0.555
165,673,730.3,15.3,1.48,0,0,0.253,0,5,1.65,0.013,0.568
170,705,703.8,14.7,1.59,0,0,0.306,0,5,1.70,0.015,0.583
175,868,684.1,13.8,1.69,0,0,0.35,0,5,1.75,0.018,0.600
180,870,696.6,14.2,1.63,0,0,0.322,0,5,1.80,0.016,0.617
185,644,736.8,13.7,1.45,0,0,0.24,0,5,1.85,0.012,0.629
190,831,680.3,13.7,1.71,0,0,0.359,0,5,1.90,0.018,0.646
5,1138,795.8,14.3,1.24,0,0,0.132,0,5,0.05,0.007,0.007
10,1300,823.9,16.5,1.16,0,0,0.084,0,5,0.10,0.004,0.011
15,623,778,20,1.3,0.004,0.45,0.145,3,5,0.15,0.007,0.018
20,605,728.5,16,1.49,0,0,0.257,0,5,0.20,0.013,0.031
25,644,731.8,15.3,1.47,0,0,0.25,0,5,0.25,0.013,0.043
30,612,715.6,17.2,1.54,0.004,0.5,0.265,1.8,5,0.30,0.013,0.057
35,636,717.1,18.2,1.53,0.006,0.75,0.252,2.9,5,0.35,0.013,0.069
40,799,705.1,13.8,1.59,0,0,0.304,0,5,0.40,0.015,0.084
45,696,734,14,1.46,0,0,0.246,0,5,0.45,0.012,0.097
50,650,724.9,15.5,1.5,0,0,0.263,0,5,0.50,0.013,0.110
55,767,708.7,13.5,1.57,0,0,0.296,0,5,0.55,0.015,0.125
60,672,715.2,17,1.54,0.004,0.5,0.266,1.8,5,0.60,0.013,0.138
65,714,712.4,15.5,1.55,0.001,0.12,0.284,0.3,5,0.65,0.014,0.152
70,825,704.1,13.2,1.59,0,0,0.306,0,5,0.70,0.015,0.168
75,623,716.8,17.3,1.54,0.004,0.5,0.262,1.8,5,0.75,0.013,0.181
80,600,719,17,1.53,0.003,0.37,0.262,1.3,5,0.80,0.013,0.194
85,722,710.3,13.7,1.56,0,0,0.293,0,5,0.85,0.015,0.208
90,715,709.6,14.2,1.57,0,0,0.294,0,5,0.90,0.015,0.223
95,673,696.1,16.2,1.63,0.004,0.52,0.306,1.6,5,0.95,0.015,0.238
100,749,661.7,15.5,1.8,0.007,0.96,0.371,2.5,5,1.00,0.019,0.257
105,748,665.8,15.3,1.78,0.005,0.68,0.371,1.7,5,1.05,0.019,0.275
110,864,671.1,13.8,1.75,0.001,0.13,0.377,0.3,5,1.10,0.019,0.294
115,820,685.6,14.8,1.68,0.002,0.26,0.338,0.7,5,1.15,0.017,0.311
120,767,699.2,15,1.61,0.001,0.13,0.312,0.3,5,1.20,0.016,0.327
125,770,699.1,15.2,1.61,0.001,0.13,0.312,0.3,5,1.25,0.016,0.342
130,885,682.2,13.5,1.7,0,0,0.355,0,5,1.30,0.018,0.360
135,968,678.1,12.2,1.72,0,0,0.364,0,5,1.35,0.018,0.378
140,866,684.1,13.8,1.69,0,0,0.35,0,5,1.40,0.018,0.396
145,881,681.9,13.5,1.7,0,0,0.356,0,5,1.45,0.018,0.414
150,781,663.1,15.2,1.8,0.006,0.82,0.373,2.1,5,1.50,0.019,0.432
155,798,686.8,15.7,1.67,0.004,0.53,0.326,1.6,5,1.55,0.016,0.449
160,798,658.8,14.3,1.82,0.004,0.55,0.394,1.3,5,1.60,0.020,0.468
165,857,667.8,14.3,1.77,0.003,0.41,0.376,1,5,1.65,0.019,0.487
170,927,675.9,13.5,1.73,0,0,0.37,0,5,1.70,0.019,0.506
175,847,669.6,14.2,1.76,0.002,0.27,0.376,0.6,5,1.75,0.019,0.524
180,916,674.3,13.7,1.74,0,0,0.374,0,5,1.80,0.019,0.543
185,839,648.3,11.7,1.88,0,0,0.436,0,5,1.85,0.022,0.565
190,887,673.7,14,1.74,0.001,0.13,0.371,0.3,5,1.90,0.019,0.583
195,860,668.9,14.5,1.76,0.003,0.4,0.373,1,5,1.95,0.019,0.602
200,915,672.2,14,1.75,0.001,0.13,0.374,0.3,5,2.00,0.019,0.621
205,829,667.1,14.8,1.77,0.004,0.54,0.373,1.4,5,2.05,0.019,0.639
210,811,666.5,15,1.78,0.005,0.68,0.369,1.7,5,2.10,0.018,0.658
215,847,651.4,12.5,1.86,0,0,0.428,0,5,2.15,0.021,0.679
220,876,650.2,12.5,1.87,0,0,0.431,0,5,2.20,0.022,0.701
225,805,659.6,14.8,1.81,0.005,0.69,0.387,1.7,5,2.25,0.019,0.720
230,814,667.6,14.8,1.77,0.004,0.54,0.372,1.4,5,2.30,0.019,0.739
235,808,640.7,12,1.92,0,0,0.454,0,5,2.35,0.023,0.762
240,836,655.1,12.8,1.84,0,0,0.42,0,5,2.40,0.021,0.783
245,883,650.6,12.2,1.87,0,0,0.43,0,5,2.45,0.022,0.804
250,745,646.8,13.7,1.89,0.004,0.56,0.424,1.3,5,2.50,0.021,0.825
255,787,648.6,13.2,1.88,0.002,0.28,0.428,0.6,5,2.55,0.021,0.847
260,826,650,13,1.87,0.001,0.14,0.428,0.2,5,2.60,0.021,0.868
265,732,642.1,12.2,1.91,0,0,0.451,0,5,2.65,0.023,0.891
270,734,639,13,1.93,0.003,0.42,0.447,0.9,5,2.70,0.022,0.913
275,908,648.3,12.3,1.88,0,0,0.436,0,5,2.75,0.022,0.935
280,792,660.3,15.3,1.81,0.006,0.83,0.381,2.1,5,2.80,0.019,0.954
285,876,649.2,12.5,1.87,0,0,0.433,0,5,2.85,0.022,0.975
290,878,653.3,12.3,1.85,0,0,0.424,0,5,2.90,0.021,0.997
295,894,654.2,12.5,1.85,0,0,0.422,0,5,2.95,0.021,1.018
300,788,642.5,13,1.91,0.002,0.28,0.442,0.5,5,3.00,0.022,1.040
305,726,637.1,12.8,1.94,0.002,0.28,0.455,0.5,5,3.05,0.023,1.063
310,771,643.6,13.2,1.91,0.003,0.42,0.436,0.9,5,3.10,0.022,1.084
315,794,654.8,13.3,1.84,0.001,0.13,0.416,0.2,5,3.15,0.021,1.105
320,692,634.8,13.3,1.96,0.004,0.57,0.453,1.2,5,3.20,0.023,1.128
325,669,633.6,13.2,1.97,0.004,0.57,0.455,1.2,5,3.25,0.023,1.151
330,761,639.6,12.2,1.93,0,0,0.457,0,5,3.30,0.023,1.173
335,700,638.5,13,1.94,0.003,0.42,0.448,0.9,5,3.35,0.022,1.196
340,899,671.4,13.5,1.75,0,0,0.38,0,5,3.40,0.019,1.215
345,1043,675.2,13,1.73,0,0,0.371,0,5,3.45,0.019,1.233
350,974,672.9,13.5,1.74,0,0,0.377,0,5,3.50,0.019,1.252
355,1041,672.6,13.2,1.74,0,0,0.378,0,5,3.55,0.019,1.271
360,1074,680.2,13,1.71,0,0,0.359,0,5,3.60,0.018,1.289
365,1110,673.6,12.8,1.74,0,0,0.375,0,5,3.65,0.019,1.308
370,863,669.4,14.5,1.76,0.003,0.4,0.372,1,5,3.70,0.019,1.326
375,871,666.6,14.8,1.78,0.004,0.54,0.374,1.4,5,3.75,0.019,1.345
380,876,643.9,8.5,1.9,0,0,0.446,0,5,3.80,0.022,1.367
385,869,652.4,12.5,1.85,0,0,0.426,0,5,3.85,0.021,1.389
5,1018,804.2,18,1.22,0,0,0.117,0,5,0.05,0.006,0.006
10,1379,818.3,16.3,1.18,0,0,0.093,0,5,0.10,0.005,0.011
15,752,739.4,13.5,1.44,0,0,0.236,0,5,0.15,0.012,0.022
20,760,734.8,13.7,1.46,0,0,0.245,0,5,0.20,0.012,0.035
25,728,729.8,15.3,1.48,0,0,0.254,0,5,0.25,0.013,0.047
30,736,731.2,15,1.48,0,0,0.251,0,5,0.30,0.013,0.060
35,893,705.8,13.3,1.58,0,0,0.302,0,5,0.35,0.015,0.075
40,739,737.3,13.3,1.45,0,0,0.24,0,5,0.40,0.012,0.087
45,747,734.2,13.5,1.46,0,0,0.245,0,5,0.45,0.012,0.099
50,688,722.7,15.5,1.51,0,0,0.268,0,5,0.50,0.013,0.113
55,677,726.1,19.2,1.5,0.007,0.87,0.231,3.7,5,0.55,0.012,0.124
60,681,723.4,15.5,1.51,0,0,0.266,0,5,0.60,0.013,0.137
65,700,726.7,15,1.49,0,0,0.26,0,5,0.65,0.013,0.150
70,644,720.3,16.7,1.52,0.003,0.37,0.26,1.4,5,0.70,0.013,0.163
75,665,724.7,15.5,1.5,0,0,0.264,0,5,0.75,0.013,0.177
80,745,710.2,14,1.56,0,0,0.293,0,5,0.80,0.015,0.191
85,780,707.7,13.5,1.58,0,0,0.298,0,5,0.85,0.015,0.206
90,708,730.3,15.3,1.48,0,0,0.253,0,5,0.90,0.013,0.219
95,741,698.4,15.5,1.62,0.002,0.26,0.309,0.8,5,0.95,0.015,0.234
100,871,685.3,14.3,1.68,0.001,0.13,0.343,0.3,5,1.00,0.017,0.251
105,903,685.7,14.5,1.68,0.001,0.13,0.343,0.3,5,1.05,0.017,0.269
110,868,685.6,14.2,1.68,0,0,0.347,0,5,1.10,0.017,0.286
115,772,699.3,15.3,1.61,0.002,0.26,0.307,0.8,5,1.15,0.015,0.301
120,784,701.4,14.5,1.6,0,0,0.311,0,5,1.20,0.016,0.317
125,917,683.1,13.2,1.69,0,0,0.353,0,5,1.25,0.018,0.334
130,943,682.5,13,1.69,0,0,0.354,0,5,1.30,0.018,0.352
135,973,680.4,9.5,1.7,0,0,0.359,0,5,1.35,0.018,0.370
140,805,687.3,15.3,1.67,0.003,0.39,0.33,1.1,5,1.40,0.017,0.387
145,982,679.7,13.5,1.71,0,0,0.361,0,5,1.45,0.018,0.405
150,994,678.2,13,1.72,0,0,0.364,0,5,1.50,0.018,0.423
155,827,686.4,14.5,1.67,0.001,0.13,0.34,0.3,5,1.55,0.017,0.440
160,935,680.4,13.5,1.7,0,0,0.359,0,5,1.60,0.018,0.458
165,963,676.6,13.8,1.72,0,0,0.368,0,5,1.65,0.018,0.476
170,896,671.8,13.7,1.75,0.001,0.13,0.376,0.3,5,1.70,0.019,0.495
175,834,659.8,14.3,1.81,0.004,0.55,0.391,1.3,5,1.75,0.020,0.515
180,859,656.9,13.5,1.83,0.002,0.27,0.408,0.6,5,1.80,0.020,0.535
185,858,669,14,1.76,0.002,0.27,0.377,0.6,5,1.85,0.019,0.554
190,918,672.4,13.5,1.75,0,0,0.378,0,5,1.90,0.019,0.573
195,923,672.8,13.3,1.74,0,0,0.378,0,5,1.95,0.019,0.592
200,778,664.3,15.3,1.79,0.006,0.82,0.37,2.1,5,2.00,0.019,0.610
205,857,647.9,12.5,1.88,0,0,0.437,0,5,2.05,0.022,0.632
210,905,649.7,12.5,1.87,0,0,0.433,0,5,2.10,0.022,0.654
215,884,654.7,12,1.84,0,0,0.421,0,5,2.15,0.021,0.675
220,921,651.6,11.8,1.86,0,0,0.428,0,5,2.20,0.021,0.696
225,866,669.6,14.2,1.76,0.002,0.27,0.376,0.6,5,2.25,0.019,0.715
230,867,647.9,12.5,1.88,0,0,0.437,0,5,2.30,0.022,0.737
235,919,651,12,1.86,0,0,0.429,0,5,2.35,0.021,0.758
240,804,659.8,14.7,1.81,0.005,0.69,0.386,1.7,5,2.40,0.019,0.777
245,873,654.8,12.3,1.84,0,0,0.42,0,5,2.45,0.021,0.798
250,867,650.4,12.5,1.87,0,0,0.431,0,5,2.50,0.022,0.820