Stake,Easting,Northing,Elevation,Hw,Dw,Hs,Ds
22S2,649311.28,7536285.52,1399.77,1.56,2.48,6.27,-2.23
20S5,649484.12,7535981.59,1385.87,0.9,2.19,6.17,-3.08
20S4,649505.86,7536084.37,1379.31,2.36,1.78,6.49,-2.35
20S3,649509.85,7536170.9,1382.37,1.19,1.51,5.4,-2.7
20S2,649507.32,7536267.73,1387.29,0.59,1.67,4.93,-2.67
20S1,649521.8,7536377.38,1392.77,2.31,0,6.56,-4.25
18S2,649717.45,7536265.69,1377.14,1,1.28,5.45,-3.17
18S4,649681.37,7536063.89,1371.1,1.32,1.09,4.35,-1.94
18S5,649692.18,7535962.91,1369.18,1.23,1.82,4.62,-1.57
15S5,649977.69,7535947.43,1354.39,1.41,2.32,5.96,-2.23
15S3,649986.44,7536133.14,1355.24,0.57,1.61,5.08,-2.9
15S1,650019.51,7536352.29,1359.26,0.6,1.2,4.01,-2.21
12S1,650308.32,7536329.02,1339.44,0.98,0.62,5.04,-3.44
12S3,650299.48,7536125.46,1337.89,1.19,1,5.74,-3.55
12S4,650280.95,7536035.27,1337.92,0.75,1.12,5.19,-3.32
10S3,650508.85,7536116.58,1309.13,0.84,2.85,5.97,-2.28
10S2,650504.36,7536214.01,1313.51,0.63,2.11,5.5,-2.76
10S1,650518.14,7536311.73,1314.2,2.58,2.2,7.66,-2.88
10C,650514.06,7536416.63,1318.4,1.14,0.97,4.65,-2.54
09C,650615.53,7536410.06,1303.07,1.84,1.38,6.56,-3.34
08C,650723.16,7536406.83,1284.96,1.83,1.28,6.6,-3.49
08S1,650707.54,7536293.78,1281.08,1.34,1.34,5.19,-2.51
08S3,650697.16,7536099.3,1273.25,1.25,1.77,6.88,-3.86
06S3,650886.9,7536086.41,1248.89,1.53,2.53,7.64,-3.58
06S2,650900.59,7536191.39,1255.32,1.4,0.98,5.39,-3.01
06S1,650905.91,7536291.08,1256.81,1.67,0.75,6.48,-4.06
04S2,651114.6,7536170.31,1217.13,0.3,4,6.4,-2.1
04S1,651095.02,7536276.95,1220.72,0.53,2.19,6.26,-3.54
04C,651122.96,7536377.75,1210.29,2.67,1.6,8.62,-4.35
04N1,651110.3,7536475.71,1201.26,1.57,1.29,7.44,-4.58
21C,649433.6,7536470.8,1404.3,2.85,1.97,7.38,-2.56
20N2,649519.5,7536664.0,1392.7,0.45,3.99,6.22,-1.78
20C,649525.9,7536468.4,1395.3,3,2.05,7.72,-2.67
19C,649621.5,7536474.9,1385.1,1.46,2.05,6.15,-2.64
18C,649727.5,7536458.6,1377.0,2.05,1.57,6.43,-2.81
17N3,649824.9,7536723.8,1359.6,1.86,2.56,6.71,-2.29
17N2,649825.8,7536658.5,1361.7,1.13,1.87,4.56,-1.56
17C,649812.6,7536451.3,1371.0,1.12,1.58,5.49,-2.79
16C,649926.9,7536449.4,1364.0,1.48,1.28,4.86,-2.1
15N3,650026.6,7536740.9,1349.4,1.48,1.8,5.06,-1.78
15N2,650025.0,7536648.3,1351.6,1.53,1.21,5.6,-2.86
15C,650030.1,7536438.0,1358.2,2.76,1.3,7.32,-3.26
14C,650123.0,7536428.4,1352.1,2.34,1.25,6.5,-2.91
12N3,650328.4,7536714.0,1331.9,2.31,2.45,6.94,-2.18
12N2,650313.2,7536638.1,1336.8,1.9,0.78,6.02,-3.34
12C,650328.9,7536423.3,1337.1,1.83,0.76,6.24,-3.65
11C,650425.0,7536427.6,1328.4,2.31,0.7,6.74,-3.73
10N3,650490.7,7536708.9,1315.8,2.1,2.09,7.05,-2.86
10N2,650537.9,7536605.5,1317.6,3.28,0.64,8,-4.08
10N1,650518.1,7536502.4,1320.8,1.03,0.11,5.11,-3.97
08N2,650720.8,7536604.4,1285.7,2.1,2.39,8.08,-3.59
07C,650835.5,7536397.2,1266.0,2.63,1.09,7.62,-3.9
06N1,650917.9,7536492.9,1242.6,2,2.06,7.49,-3.43
06C,650924.2,7536388.9,1251.2,3.11,1.19,7.79,-3.49
05C,651006.9,7536392.4,1234.4,1.37,0,6.89,-5.52
28N7,648738.0,7537016.4,1566.3,0.52,3.51,4.85,-0.82
30N7,648547.5,7537232.1,1602.8,0.22,4.15,3.65,0.72
32N9,648379.1,7537431.4,1638.7,0.25,4.43,3.52,1.16
32N7,648352.5,7537239.5,1619.0,0.18,4.81,2.88,2.11
32N5,648339.2,7537040.8,1605.4,0.26,5.9,3.47,2.69
30N5,648537.4,7537029.5,1580.1,0.72,5.77,3.98,2.51
28N5,648738.0,7537016.4,1566.3,0.32,3.75,4.62,-0.55
26N5,648938.0,7536998.1,1546.1,0.47,3.09,4.19,-0.63
25N3,649037.1,7536793.9,1507.9,0.03,1.99,4.34,-2.32
27N2,648823.3,7536706.3,1497.9,0.22,3.31,4.84,-1.31
27C,648811.8,7536507.9,1494.5,0.52,3.36,4.47,-0.59
29C,648610.3,7536520.3,1503.4,0.25,4.28,4.15,0.38
29S3,648587.1,7536236.3,1515.0,0.55,7.55,4.2,3.9
29S6,648573.3,7535939.9,1564.3,0.88,3.85,4.74,-0.01
27S4,648785.4,7536119.5,1498.9,0.56,3.95,4.8,-0.29
25S4,648980.1,7536104.3,1481.0,1.06,1.84,5.18,-2.28
27S2,648798.9,7536322.9,1493.0,0.15,3.79,4.26,-0.32
24C,649121.0,7536490.5,1458.1,0.41,2.65,5.04,-1.98
22C,649327.9,7536479.5,1413.4,1.16,2.55,5.78,-2.07